Date,Particulars,Vch_Type,Vch_No,Debit,Credit,FY,Month_Name
2025-04-01,EASEN ADHESIVES,Purchase New,Pur/1/25-26,,35825.0,2025-26,Apr-2025
2025-04-02,National Inf,Purchase New,Pur/3/25-26,,29659.0,2025-26,Apr-2025
2025-04-03,National Inf,Purchase New,Pur/2/25-26,,27344.0,2025-26,Apr-2025
2025-04-03,Prathiksha Graphics,Purchase New,Pur/4/25-26,,17700.0,2025-26,Apr-2025
2025-04-03,PELMAN PAPER,Purchase New,Pur/5/25-26,,383657.0,2025-26,Apr-2025
2025-04-03,VIKKAS MODIFIED STARCH INDUSTRIES PVT LTD,Purchase New,Pur/8/25-26,,10030.0,2025-26,Apr-2025
2025-04-05,Wirex Enterprise,Purchase New,Pur/6/25-26,,13323.0,2025-26,Apr-2025
2025-04-05,Apex India,Purchase New,Pur/7/25-26,,4720.0,2025-26,Apr-2025
2025-04-08,MOGA INKS,Purchase New,Pur/9/25-26,,10915.0,2025-26,Apr-2025
2025-04-09,SAMBHAV Paper Source,Purchase New,Pur/14/25-26,,60520.0,2025-26,Apr-2025
2025-04-10,KRISHNA ENTERPRISE,Purchase New,Pur/15/25-26,,262715.0,2025-26,Apr-2025
2025-04-11,VIKKAS MODIFIED STARCH INDUSTRIES PVT LTD,Purchase New,Pur/11/25-26,,10030.0,2025-26,Apr-2025
2025-04-12,FLEXIBLE Pack & Fab,Purchase New,Pur/12/25-26,,29500.8,2025-26,Apr-2025
2025-04-12,FLEXIBLE Pack & Fab,Purchase New,Pur/13/25-26,,25670.4,2025-26,Apr-2025
2025-04-12,Ram Cartons,Purchase New,Pur/33/25-26,,335207.0,2025-26,Apr-2025
2025-04-15,UNIVERSAL CARTONS,Purchase New,Pur/16/25-26,,2614.0,2025-26,Apr-2025
2025-04-16,FLEXIBLE Pack & Fab,Purchase New,Pur/17/25-26,,3830.4,2025-26,Apr-2025
2025-04-17,VIKKAS MODIFIED STARCH INDUSTRIES PVT LTD,Purchase New,Pur/18/25-26,,12538.0,2025-26,Apr-2025
2025-04-18,PELMAN PAPER,Purchase New,Pur/20/25-26,,404329.0,2025-26,Apr-2025
2025-04-18,CLOUD 9 SOFT TECHNOLOGIES,Purchase New,Pur/21/25-26,,6372.0,2025-26,Apr-2025
2025-04-19,MOGA INKS,Purchase New,Pur/19/25-26,,15488.0,2025-26,Apr-2025
2025-04-19,FLEXIBLE Pack & Fab,Purchase New,Pur/22/25-26,,78008.0,2025-26,Apr-2025
2025-04-19,ADVIK PACK WELL ENTERPRISES,Purchase New,Pur/41/25-26,,40992.0,2025-26,Apr-2025
2025-04-21,ABIRAMI GRAPHICSS,Purchase New,Pur/52/25-26,,10443.0,2025-26,Apr-2025
2025-04-22,EASEN ADHESIVES,Purchase New,Pur/27/25-26,,42622.0,2025-26,Apr-2025
2025-04-23,SRI SAIRAM FLEXO GRAPHICS,Purchase New,Pur/23/25-26,,708.0,2025-26,Apr-2025
2025-04-24,FLEXIBLE Pack & Fab,Purchase New,Pur/24/25-26,,59001.6,2025-26,Apr-2025
2025-04-24,Apex India,Purchase New,Pur/25/25-26,,3776.0,2025-26,Apr-2025
2025-04-24,Wirex Enterprise,Purchase New,Pur/26/25-26,,13413.0,2025-26,Apr-2025
2025-04-28,DAYA PRINTERS,Purchase New,Pur/28/25-26,,9204.0,2025-26,Apr-2025
2025-04-28,VIKKAS MODIFIED STARCH INDUSTRIES PVT LTD,Purchase New,Pur/29/25-26,,10030.0,2025-26,Apr-2025
2025-04-29,KRISHNA ENTERPRISE,Purchase New,Pur/30/25-26,,347258.0,2025-26,Apr-2025
2025-04-30,Trade Watch,Purchase New,Pur/51/25-26,,178614.0,2025-26,Apr-2025
